title="Potential"
variables = "x","y","V"
zone i=101,j=101,f=point
50 11 -1.43771
51 11 -1.43877
52 11 -1.43775
53 11 -1.43466
54 11 -1.42951
55 11 -1.42234
56 11 -1.41318
57 11 -1.40206
58 11 -1.38903
59 11 -1.37416
60 11 -1.3575
61 11 -1.33913
62 11 -1.31913
63 11 -1.29757
64 11 -1.27453
65 11 -1.2501
66 11 -1.22437
67 11 -1.19742
68 11 -1.16934
69 11 -1.14021
70 11 -1.11012
71 11 -1.07915
72 11 -1.04737
73 11 -1.01487
74 11 -0.981719
75 11 -0.947985
76 11 -0.913731
77 11 -0.879017
78 11 -0.843906
79 11 -0.808448
80 11 -0.772693
81 11 -0.736678
82 11 -0.700454
83 11 -0.664051
84 11 -0.627502
85 11 -0.590834
86 11 -0.554073
87 11 -0.517241
88 11 -0.480358
89 11 -0.443439
90 11 -0.406497
91 11 -0.36954
92 11 -0.332579
93 11 -0.295617
94 11 -0.258656
95 11 -0.2217
96 11 -0.184749
97 11 -0.147801
98 11 -0.110856
99 11 -0.0739108
100 11 -0.0369595
101 11 0
1 12 0
2 12 -0.040577
3 12 -0.081151
4 12 -0.121728
5 12 -0.162309
6 12 -0.202901
7 12 -0.243506
8 12 -0.284124
9 12 -0.324757
10 12 -0.365403
11 12 -0.406059
12 12 -0.446718
13 12 -0.487373
14 12 -0.528016
15 12 -0.56863
16 12 -0.609197
17 12 -0.649703
18 12 -0.690122
19 12 -0.73043
20 12 -0.770591
21 12 -0.810572
22 12 -0.850335
23 12 -0.889837
24 12 -0.929028
25 12 -0.967856
26 12 -1.00626
27 12 -1.04417
28 12 -1.08153
29 12 -1.11827
30 12 -1.15431
31 12 -1.18956
32 12 -1.22394
33 12 -1.25736
34 12 -1.28973
35 12 -1.32096
36 12 -1.35095
37 12 -1.3796
38 12 -1.40682
39 12 -1.43249
40 12 -1.45654
41 12 -1.47886
42 12 -1.49937
43 12 -1.51797
44 12 -1.5346
45 12 -1.54917
46 12 -1.56162
47 12 -1.57189
48 12 -1.57994
49 12 -1.58572
50 12 -1.58921
51 12 -1.59039
52 12 -1.58925
53 12 -1.5858
54 12 -1.58005
55 12 -1.57204
56 12 -1.56181
57 12 -1.54939
58 12 -1.53486
59 12 -1.51826
60 12 -1.49969
61 12 -1.47921
62 12 -1.45692
63 12 -1.4329
64 12 -1.40725
65 12 -1.38007
66 12 -1.35144
67 12 -1.32148
68 12 -1.29027
69 12 -1.25791
70 12 -1.22451
71 12 -1.19014
72 12 -1.15491
73 12 -1.11888
74 12 -1.08215
75 12 -1.0448
76 12 -1.00688
77 12 -0.968482
78 12 -0.929657
79 12 -0.890467
80 12 -0.850964
81 12 -0.811191
82 12 -0.771203
83 12 -0.731032
84 12 -0.690715
85 12 -0.650278
86 12 -0.609753
87 12 -0.569166
88 12 -0.528533
89 12 -0.487868
90 12 -0.447189
91 12 -0.406504
92 12 -0.365819
93 12 -0.325141
94 12 -0.284472
95 12 -0.243817
96 12 -0.203169
97 12 -0.162533
98 12 -0.121903
99 12 -0.0812733
100 12 -0.0406405
101 12 0
1 13 0
2 13 -0.0442491
3 13 -0.0884951
4 13 -0.132746
5 13 -0.177007
6 13 -0.221283
7 13 -0.265579
8 13 -0.309896
9 13 -0.354237
10 13 -0.398598
11 13 -0.442978
12 13 -0.487373
13 13 -0.531776
14 13 -0.576175
15 13 -0.620552
16 13 -0.664897
17 13 -0.709189
18 13 -0.753401
19 13 -0.797505
20 13 -0.841466
21 13 -0.885251
22 13 -0.928816
23 13 -0.972114
24 13 -1.01509
25 13 -1.05769
26 13 -1.09984
27 13 -1.14148
